SMILES,Cid
O=C(OCCSCC)C(=C)C,Cid195
O=C(OCC1=CCC2CC1C2(C)(C))C,Cid196
O=C(OC)Nc1nc2ccccc2([nH]1),Cid197
O=C(OCCO)C(=C)C,Cid198
O=C(O)C1(C)(CC=CCC1),Cid199
N#CCC(=O)OCCOC,Cid200
O=C(O)C=CC,Cid201
O=C(c1ccc(OC)cc1)C,Cid202
OCCNCC(O)CNCCO,Cid203
O=CC(=Cc1ccccc1)C,Cid204
O(C)CCc1ccccc1,Cid205
O=C(Cc1ccccc1)CCCC,Cid206
O=C(OC=C)CCCCC(=O)OC,Cid207
O=C(OCC)c1ccccc1(O),Cid208
OCCN(CCO)CCCC,Cid209
c1ccc2cc(ccc2(c1))C,Cid210
O=C(OCCOCCCC)CCCCC(=O)OCCOCCCC,Cid211
OCC1CCC(CO)CC1,Cid212
O(C)C(OC)C=Cc1ccccc1,Cid213
O=C(OC)CCCCCCCC=CC=CC=CCCCC,Cid214
O=C(OCCCC)c1ccccc1(O),Cid215
O=C(OCc1ccc(OC)cc1)CC,Cid216
O=CC(c1ccc(cc1)C)C,Cid217
OCCNCC,Cid218
O(c1ccc2ccccc2(c1))CC(C)C,Cid219
OCC(N(C)C)(C)C,Cid220
O=C(OCCCCCCCCCCCC)c1cc(O)c(O)c(O)c1,Cid221
O=P(O)(OCC)CCC,Cid222
OC(c1ccccc1)C2CCCCC2,Cid223
O=C(C)CCc1ccccc1,Cid224
O=C(O)Cc1ccc(OC)cc1,Cid225
OCCOC(C)CC,Cid226
OCC=CC,Cid227
O=C(c1ccccc1)c2ccc(O)cc2,Cid228
N#CCC(=O)OCC(C)C,Cid229
O(CCN)CCN,Cid230
O(CCOCC1(OC1)(C))CC2(OC2)(C),Cid231
O=[N+]([O-])c1cc(ccc1C)C,Cid232
O=C(O)c1nc(ccc1)Cl,Cid233
OCC1OC(OC1)Cc2ccccc2,Cid234
O1CCNCC1,Cid235
OCCOCCCCCCC,Cid236
O1CCNCC1,Cid237
O(c1ccc(cc1(OC))CC=C)C,Cid238
OCC(Oc1ccccc1)C,Cid239
O=C(O)C(Cl)(Cl)Cl,Cid240
O=C(OC(C=C)(C)CCC=C(C)C)C=Cc1ccccc1,Cid241
O=C(OCCOc1ccccc1)C=C,Cid242
c1cc(cc2c1CCC2(C)C)C(C)(C)C,Cid243
O=C(O)C=Cc1ccccc1,Cid244
N#CCCOCCCCOCCC#N,Cid245
Oc1ccc2ccccc2(c1),Cid246
O=Cc1ccc(OCC)cc1,Cid247
O=C(O)C(Cl)Cl,Cid248
O=C(O)c1ccccc1,Cid249
c1ccc(cc1)c2ccc(cc2)C,Cid250
O=C(c1cccc(c1)C(=O)Cl)Cl,Cid251
OCCC1CCCCC1,Cid252
O=C(O)CCCCCCl,Cid253
OC2c1ccccc1CC2,Cid254
c1ccc2ccccc2(c1),Cid255
O(c1ccccc1(OCC))CC,Cid256
O(c1ccccc1(OC))C,Cid257
O=C(Oc1ccc(OC)cc1)CCC,Cid258
O1CC=CCOC1C(C)C,Cid259
O=C1C=CCCC1,Cid260
O(c1ccc(cc1)C)C,Cid261
O=[N+]([O-])c1ccc(N)c(OC)c1,Cid262
Oc1c(cc(cc1C)CCCCCCC)C,Cid263
O=Cc1ccc(cc1)Cl,Cid264
O(CC)[Si](OCC)(OCC)CCCCCCCC,Cid265
O=[N+]([O-])c1ccc(N)c(N)c1,Cid266
c1ccc(cc1)C(c2ccccc2C)C,Cid267
OCCCc1ccccc1,Cid268
OCC2CC1CCC2(C1),Cid269
O=S(=O)(O)OCC(CC)CCCC,Cid270
O=C3OC(=O)C(OC(=O)CCc1ccccc1)=C3(OC(=O)CCc2ccccc2),Cid271
OC(C)(Cc1ccccc1)CC,Cid272
OCC[N+](C)(C)CC,Cid273
O1c2ccc(cc2(OC1))CC=C,Cid274
Oc1ccc(cc1)Cc2ccc(O)cc2,Cid275
Oc1ccccc1CC(CC)CCCC,Cid276
O=C(O)c1cc(cc(N)c1Cl)Cl,Cid277
